Location,Location_Type,State,Bedroom_Size,Price_2017_01,Price_2017_02,Price_2017_03,Price_2017_04,Price_2017_05,Price_2017_06,Price_2017_07,Price_2017_08,Price_2017_09,Price_2017_10,Price_2017_11,Price_2017_12,Price_2018_01,Price_2018_02,Price_2018_03,Price_2018_04,Price_2018_05,Price_2018_06,Price_2018_07,Price_2018_08,Price_2018_09,Price_2018_10,Price_2018_11,Price_2018_12,Price_2019_01,Price_2019_02,Price_2019_03,Price_2019_04,Price_2019_05,Price_2019_06,Price_2019_07,Price_2019_08,Price_2019_09,Price_2019_10,Price_2019_11,Price_2019_12,Price_2020_01,Price_2020_02,Price_2020_03,Price_2020_04,Price_2020_05,Price_2020_06,Price_2020_07,Price_2020_08,Price_2020_09
"New York, NY","City","NY","Studio",1711,1722,1734,1709,1723,1738,1764,1764,1775,1762,1753,1712,1691,1675,1687,1703,1725,1754,1785,1807,1810,1801,1785,1763,1749,1740,1754,1767,1790,1812,1831,1846,1852,1848,1839,1847,1843,1834,1820,1812,1786,1744,1700,1654,1609
"New York, NY","City","NY","1br",1808,1820,1833,1806,1821,1837,1864,1864,1876,1862,1853,1809,1787,1770,1783,1799,1823,1854,1886,1910,1913,1903,1886,1863,1848,1839,1853,1867,1892,1916,1935,1951,1958,1953,1944,1952,1947,1939,1923,1915,1888,1844,1797,1748,1701
"New York, NY","City","NY","2br",1903,1915,1929,1901,1916,1933,1962,1962,1974,1960,1950,1904,1881,1863,1876,1893,1919,1951,1985,2009,2013,2003,1985,1961,1945,1935,1950,1965,1991,2016,2036,2053,2060,2055,2046,2054,2049,2040,2024,2015,1986,1940,1891,1840,1790
"New York, NY","City","NY","3br",2171,2185,2200,2168,2186,2205,2238,2238,2251,2235,2224,2171,2145,2125,2140,2160,2188,2225,2264,2292,2296,2284,2264,2237,2219,2207,2225,2241,2271,2299,2322,2341,2350,2344,2333,2342,2337,2327,2309,2299,2266,2213,2157,2098,2042
"New York, NY","City","NY","4br",2276,2291,2307,2274,2292,2312,2346,2347,2361,2344,2332,2277,2249,2228,2244,2265,2295,2334,2374,2403,2408,2395,2374,2345,2326,2314,2333,2350,2381,2411,2435,2455,2464,2458,2446,2456,2451,2440,2421,2410,2376,2320,2262,2200,2141
"Los Angeles, CA","City","CA","Studio",1317,1325,1333,1317,1319,1319,1321,1328,1331,1327,1321,1313,1314,1316,1329,1334,1341,1348,1358,1369,1372,1366,1357,1354,1355,1357,1359,1363,1366,1373,1377,1382,1382,1380,1372,1366,1362,1364,1364,1353,1332,1314,1302,1293,1279
"Los Angeles, CA","City","CA","1br",1590,1600,1609,1590,1592,1593,1595,1603,1607,1602,1595,1585,1586,1589,1605,1611,1619,1627,1640,1653,1656,1650,1639,1635,1636,1639,1641,1646,1650,1657,1662,1668,1669,1666,1657,1650,1645,1647,1647,1634,1608,1586,1573,1561,1545
"Los Angeles, CA","City","CA","2br",2087,2099,2111,2086,2089,2090,2093,2104,2109,2102,2093,2080,2081,2086,2106,2114,2124,2135,2152,2170,2173,2165,2150,2145,2146,2150,2153,2159,2165,2175,2181,2189,2190,2186,2174,2165,2158,2162,2161,2143,2110,2081,2063,2049,2027
"Los Angeles, CA","City","CA","3br",2478,2492,2507,2477,2481,2482,2486,2498,2504,2496,2486,2470,2472,2477,2501,2510,2523,2535,2555,2576,2580,2571,2554,2547,2549,2553,2557,2564,2571,2583,2590,2599,2600,2596,2582,2570,2563,2567,2566,2545,2506,2472,2450,2433,2407
"Los Angeles, CA","City","CA","4br",2705,2721,2737,2704,2708,2710,2714,2727,2733,2725,2714,2697,2698,2704,2731,2740,2754,2768,2789,2813,2817,2806,2788,2780,2783,2787,2791,2799,2806,2819,2828,2838,2839,2834,2819,2806,2798,2802,2801,2779,2736,2698,2675,2656,2627
