Location,Location_Type,Bedroom_Size,Price_2017_01,Price_2017_02,Price_2017_03,Price_2017_04,Price_2017_05,Price_2017_06,Price_2017_07,Price_2017_08,Price_2017_09,Price_2017_10,Price_2017_11,Price_2017_12,Price_2018_01,Price_2018_02,Price_2018_03,Price_2018_04,Price_2018_05,Price_2018_06,Price_2018_07,Price_2018_08,Price_2018_09,Price_2018_10,Price_2018_11,Price_2018_12,Price_2019_01,Price_2019_02,Price_2019_03,Price_2019_04,Price_2019_05,Price_2019_06,Price_2019_07,Price_2019_08,Price_2019_09,Price_2019_10,Price_2019_11,Price_2019_12,Price_2020_01,Price_2020_02,Price_2020_03,Price_2020_04,Price_2020_05,Price_2020_06,Price_2020_07,Price_2020_08,Price_2020_09
"Alabama","State","Studio",622,625,629,630,634,640,644,644,648,648,645,639,638,636,639,643,648,654,660,665,666,665,662,660,660,663,669,674,678,684,689,693,692,690,687,686,686,688,690,689,689,692,699,708,713
"Alabama","State","1br",631,635,639,639,644,649,653,654,658,657,655,649,647,646,649,653,658,664,670,675,676,675,672,670,670,673,679,684,688,694,700,704,703,700,698,697,697,698,700,700,700,702,710,718,723
"Alabama","State","2br",775,780,785,785,791,798,803,803,808,807,805,797,795,794,797,802,809,816,823,829,830,829,826,824,823,827,834,840,845,853,860,865,863,860,857,856,856,858,860,859,859,862,872,882,889
"Alabama","State","3br",941,947,953,953,961,968,975,976,981,981,977,968,966,964,968,974,982,991,1000,1007,1008,1006,1003,1000,1000,1005,1013,1020,1026,1036,1044,1050,1048,1045,1041,1039,1039,1042,1045,1044,1044,1047,1059,1072,1079
"Alabama","State","4br",1127,1133,1141,1141,1150,1159,1166,1168,1174,1173,1170,1158,1155,1153,1159,1166,1175,1186,1197,1205,1206,1204,1200,1197,1196,1202,1212,1221,1228,1239,1249,1256,1254,1250,1246,1244,1244,1247,1250,1249,1249,1253,1268,1282,1291
"Alaska","State","Studio",819,806,,,825,831,,824,809,810,,820,831,822,825,824,830,826,828,830,832,831,824,824,824,830,829,833,836,841,840,841,840,833,827,827,839,838,846,845,853,850,848,856,861
"Alaska","State","1br",922,907,,,930,936,,928,912,912,,924,936,926,930,928,935,931,933,935,937,936,928,928,928,935,933,938,942,947,946,947,946,938,932,932,945,944,953,952,961,957,955,964,969
"Alaska","State","2br",1229,1209,,,1239,1248,,1237,1215,1215,,1231,1248,1234,1239,1237,1246,1241,1243,1246,1249,1248,1237,1237,1238,1246,1244,1250,1256,1263,1261,1262,1261,1251,1242,1242,1260,1258,1270,1269,1281,1276,1273,1285,1292
"Alaska","State","3br",1687,1659,,,1700,1712,,1698,1668,1668,,1689,1712,1694,1700,1698,1710,1703,1706,1710,1715,1712,1698,1697,1698,1709,1707,1715,1723,1733,1731,1732,1730,1716,1704,1704,1729,1726,1743,1741,1758,1750,1747,1763,1773
"Alaska","State","4br",2071,2038,,,2088,2103,,2085,2047,2048,,2074,2102,2080,2088,2084,2100,2090,2095,2100,2105,2103,2085,2084,2085,2099,2096,2106,2116,2128,2125,2127,2125,2107,2092,2093,2123,2119,2140,2137,2158,2149,2146,2165,2177
"Arizona","State","Studio",731,727,732,735,738,744,747,748,748,748,747,750,753,754,759,763,770,772,780,785,792,795,797,800,803,808,813,820,828,836,842,848,851,853,854,857,861,865,868,863,855,851,859,871,879
"Arizona","State","1br",786,782,788,790,794,800,803,804,805,804,804,807,810,812,816,821,828,830,838,845,852,856,857,861,863,869,874,882,890,899,906,912,915,917,919,922,926,930,934,928,920,916,924,936,946
"Arizona","State","2br",966,961,968,971,976,983,987,988,989,989,988,992,995,997,1003,1009,1018,1020,1030,1038,1047,1051,1053,1058,1061,1068,1074,1084,1094,1105,1113,1120,1125,1127,1130,1133,1138,1143,1148,1141,1130,1125,1136,1151,1162
"Arizona","State","3br",1226,1218,1228,1232,1238,1247,1252,1254,1254,1254,1253,1258,1262,1265,1272,1280,1291,1294,1307,1317,1328,1334,1336,1342,1346,1354,1363,1375,1388,1401,1412,1421,1426,1430,1433,1438,1444,1450,1456,1447,1434,1427,1441,1460,1474
"Arizona","State","4br",1440,1431,1442,1447,1454,1465,1471,1473,1474,1473,1472,1478,1482,1486,1494,1503,1517,1520,1535,1547,1560,1567,1570,1577,1581,1591,1601,1616,1631,1646,1659,1670,1676,1679,1683,1689,1696,1703,1710,1700,1684,1677,1692,1715,1731
"Arkansas","State","Studio",544,546,547,547,546,543,537,532,529,527,526,524,527,531,539,544,547,548,549,550,547,543,539,542,544,547,550,551,553,557,560,561,558,555,552,550,551,551,553,554,558,563,567,568,569
